认证成功，开始演示批量操作...
批量订阅 1 只股票...
批量订阅请求已发送
2025/06/12 22:26:40 [数据流转] 收到数据: 股票=SZ000815, 类型=4, 数据结构=[]interface {}
2025/06/12 22:26:40 [数据流转] 逐笔成交数据为数组格式，长度: 1500
2025/06/12 22:26:40 [数据流转] 成功解析 1500 条逐笔成交记录
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 9600, 时间: 09:25:00, 成交ID: 131
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 4700, 时间: 09:25:00, 成交ID: 132
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1000, 时间: 09:25:00, 成交ID: 133
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -200, 时间: 09:25:00, 成交ID: 134
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2300, 时间: 09:25:00, 成交ID: 135
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1800, 时间: 09:25:00, 成交ID: 136
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1400, 时间: 09:25:00, 成交ID: 137
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -400, 时间: 09:25:00, 成交ID: 138
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 6800, 时间: 09:25:00, 成交ID: 139
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1800, 时间: 09:25:00, 成交ID: 140
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2600, 时间: 09:25:00, 成交ID: 141
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2000, 时间: 09:25:00, 成交ID: 142
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 400, 时间: 09:25:00, 成交ID: 143
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1100, 时间: 09:25:00, 成交ID: 144
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2500, 时间: 09:25:00, 成交ID: 145
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 900, 时间: 09:25:00, 成交ID: 146
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 147
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 700, 时间: 09:25:00, 成交ID: 148
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1000, 时间: 09:25:00, 成交ID: 149
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1300, 时间: 09:25:00, 成交ID: 150
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 151
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 152
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 153
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 300, 时间: 09:25:00, 成交ID: 154
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 155
